id,objectType,actor,verb,postedTime,generator,provider,link,body,object,favoritesCount,twitter_entities,twitter_filter_level,retweetCount,info,location,inReplyTo
"tag:search.twitter.com,2005:646452901162942464",activity,object,share,2015-09-22T22:35:56.000Z,object,object,http://twitter.com/geminieast7745/statuses/646452901162942464,"RT @RT_America: #BoomBust: VW scandal spreads to Europe, Asia [VIDEO] https://t.co/fhuqaQFqvA @AmeeraDavid @edwardnh @erinade",object,0,object,low,8,-,-,-
"tag:search.twitter.com,2005:646452805562159105",activity,object,share,2015-09-22T22:35:34.000Z,object,object,http://twitter.com/NYCjamescobb/statuses/646452805562159105,"RT @autonews_west: Curious to hear @Mazda's thoughts on the VW scandal, since their diesel 6 is long delayed in the US. Guys, next time jus…",object,0,object,low,1,-,-,-
"tag:search.twitter.com,2005:646452827959619584",activity,object,share,2015-09-22T22:35:39.000Z,object,object,http://twitter.com/sLSnC/statuses/646452827959619584,RT @Drudge_Report_: #Volkswagen: millions of #gas cars could be affected #vw http://t.co/MHjnBmGCYO,object,0,object,low,4,-,-,-
"tag:search.twitter.com,2005:646452831076151296",activity,object,share,2015-09-22T22:35:40.000Z,object,object,http://twitter.com/robschafer/statuses/646452831076151296,RT @AlbertBrooks: Shocked at what VW did. Their heritage is so pure.,object,0,object,low,163,-,-,-
"tag:search.twitter.com,2005:646452831872946176",activity,object,post,2015-09-22T22:35:40.000Z,object,object,http://twitter.com/john_swindle/statuses/646452831872946176,@VW Seems to me you have just caused the American people more govt intervention into our lives #justbehave #assholes https://t.co/IsXOEYKLUw,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452854236934144",activity,object,post,2015-09-22T22:35:45.000Z,object,object,http://twitter.com/HotDeals2015/statuses/646452854236934144,"#instagood #food VW was intentionally deceptive, said attorney Jay Rice.  http://t.co/XHBE2SN9zZ",object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452856564793344",activity,object,post,2015-09-22T22:35:46.000Z,object,object,http://twitter.com/HotDeals2015/statuses/646452856564793344,#instagood #food VW smog-test trickery erases $26 billion in market value; CEO says he's 'endlessly sorry'  http://t.co/XHBE2SN9zZ,object,0,object,low,0,-,-,-
"tag:search.twitter.com,2005:646452673282093056",activity,object,share,2015-09-22T22:35:02.000Z,object,object,http://twitter.com/SEASolicitorCJS/statuses/646452673282093056,RT @WIREDScience: The unique chemistry of the diesel engine is ultimately what got VW caught by the EPA: http://t.co/BU1SX6l4Wf,object,0,object,low,85,-,-,-
"tag:search.twitter.com,2005:646452693385506817",activity,object,share,2015-09-22T22:35:07.000Z,object,object,http://twitter.com/techmetals/statuses/646452693385506817,RT @sdmoores: Auto sector turmoil sparked by VW will create a new industry order. Trust over emissions now badly impacted. Push towards EVs…,object,0,object,low,3,-,-,-
"tag:search.twitter.com,2005:646452697038778368",activity,object,post,2015-09-22T22:35:08.000Z,object,object,http://twitter.com/jimmycmhc/statuses/646452697038778368,I kinda fell in love with that VW today but they aren't sure on selling it yet :( the hunt continues.,object,0,object,low,0,-,object,-
