id,objectType,actor.id,actor.displayName,actor.followersCount,verb,postedTime,generator.link,generator.displayName,provider.link,provider.displayName,provider.objectType,link,body,object.postedTime,favoritesCount,twitter_filter_level,retweetCount,info,location,inReplyTo
646712484624134144,activity,2215020150,Produced Music,555,post,2015-09-23T15:47:26.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/news_ground/statuses/646712484624134144,Volkswagen chief Winterkorn resigns: Volkswagen chief executive Martin Winterkorn resigns following the revela... http://t.co/RDkVHDvn1V,2015-09-23T15:47:26.000Z,0,low,0,-,-,-
646712377161969666,activity,14628959,Automotive News,118731,share,2015-09-23T15:47:00.000Z,https://about.twitter.com/products/tweetdeck,TweetDeck,http://www.twitter.com,Twitter,service,http://twitter.com/Automotive_News/statuses/646712377161969666,"RT @RyanBeeneAN: .@VW executive committee says ""criminal proceedings may be relevant"" and will submit complaint to state prosecutor in Brun…",2015-09-23T15:46:46.000Z,0,low,1,-,-,-
646712378982203392,activity,3087404808,Amanda Tilder,6662,post,2015-09-23T15:47:01.000Z,http://twitterfeed.com,twitterfeed,http://www.twitter.com,Twitter,service,http://twitter.com/NutritionAmanda/statuses/646712378982203392,"Volkswagen CEO Winterkorn Announces Resignation: Following a week of scandal, Winterkorn says Volkswagen needs... http://t.co/tb0NNdEeZK",2015-09-23T15:47:01.000Z,0,low,0,-,-,-
646712379259158528,activity,16792526,Muhsin A Hamididdin,388,share,2015-09-23T15:47:01.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/muhsin_AH/statuses/646712379259158528,"RT @BBCWorld: The defeat device, the screw up &amp; the resignation - we explain the #Volkswagen diesel scandal http://t.co/m4LWpBzT5L http://t…",2015-09-23T15:39:29.000Z,0,low,53,-,-,-
646712377778511872,activity,333166725,ℒexi Little,581,share,2015-09-23T15:47:00.000Z,http://twitter.com/download/iphone,Twitter for iPhone,http://www.twitter.com,Twitter,service,http://twitter.com/Lexxii_Jade/statuses/646712377778511872,RT @WFLA: Volkswagen CEO steps down as company deals with emissions scandal http://t.co/6oSuPHhg05,2015-09-23T15:41:23.000Z,0,low,1,-,-,-
646712383927386116,activity,3062138613,Cathy Bern,653,post,2015-09-23T15:47:02.000Z,http://www.hootsuite.com,Hootsuite,http://www.twitter.com,Twitter,service,http://twitter.com/41Cathy/statuses/646712383927386116,Volkswagen CEO Quits After Massive Lying Scandal - Sean Gallup/Getty Images. Update: Volkswagen CEO Martin Winterk... http://t.co/bZY0qDLxjF,2015-09-23T15:47:02.000Z,0,low,0,-,-,-
646712384720121856,activity,2341281566,ProTradersNews,592,post,2015-09-23T15:47:02.000Z,http://www.stocknewswires.com,StockNewsWires,http://www.twitter.com,Twitter,service,http://twitter.com/ProTradersNews/statuses/646712384720121856,"$GM $BRK.A:

VW recall scandal is a wake-up call for executives:

http://t.co/GDf3gmyIHD",2015-09-23T15:47:02.000Z,0,low,0,-,-,-
646712392810917888,activity,12666052,Peter Richardson,1503,post,2015-09-23T15:47:04.000Z,http://tapbots.com/software/tweetbot/mac,Tweetbot for Mac,http://www.twitter.com,Twitter,service,http://twitter.com/meetar/statuses/646712392810917888,as @janie live-tweets her Ducati running out of oil I’m having air-cooled VW flashbacks⁰⁰…though at 25% the speed,2015-09-23T15:47:04.000Z,0,low,0,-,-,-
646712395407093760,activity,347856887,AllTheBestNews,1492,post,2015-09-23T15:47:05.000Z,http://dlvr.it,dlvr.it,http://www.twitter.com,Twitter,service,http://twitter.com/AllTheBestNews/statuses/646712395407093760,BREAKING NEWS: Volkswagen CEO says he is stepping down http://t.co/JoZsapCOf0,2015-09-23T15:47:05.000Z,0,low,0,-,-,-
646712398577975296,activity,15805062,peter5150,550,post,2015-09-23T15:47:05.000Z,http://twitter.com,Twitter Web Client,http://www.twitter.com,Twitter,service,http://twitter.com/peter5150/statuses/646712398577975296,"@daveweigel @dmataconis  the idea that anyone would think that Volkswagen emissions  were legit , forgot out the jewish killing  chambers",2015-09-23T15:47:05.000Z,0,low,0,-,-,object
